Date,RAW,DOY,NDVI,Year
9-May-02,"5,426.87",129,0.5426871,2002
25-May-02,"5,374.57",145,0.5374565,2002
10-Jun-02,"4,843.41",161,0.4843409,2002
26-Jun-02,"4,261.82",177,0.4261822,2002
12-Jul-02,"5,433.85",193,0.5433849,2002
28-Jul-02,"6,212.55",209,0.6212548,2002
13-Aug-02,"6,311.88",225,0.6311878,2002
29-Aug-02,"7,356",241,0.7356,2002
14-Sep-02,NA,257,#VALUE!,2002
30-Sep-02,"7,275.99",273,0.7275986,2002
16-Oct-02,"6,897.54",289,0.689754,2002
1-Nov-02,"6,332.32",305,0.6332316,2002
17-Nov-02,"5,457.21",321,0.5457209,2002
3-Dec-02,"5,249.12",337,0.5249116,2002
19-Dec-02,NA,353,#VALUE!,2002
1-Jan-03,"4,919.12",1,0.4919123,2003
17-Jan-03,NA,17,#VALUE!,2003
2-Feb-03,"4,426.51",33,0.4426505,2003
18-Feb-03,"4,308.27",49,0.4308266,2003
6-Mar-03,"3,974.45",65,0.3974447,2003
22-Mar-03,NA,81,#VALUE!,2003
7-Apr-03,"5,044.59",97,0.5044586,2003
23-Apr-03,"5,845.50",113,0.5845501,2003
9-May-03,"5,608.32",129,0.5608316,2003
25-May-03,"5,759.71",145,0.5759705,2003
10-Jun-03,"5,373.03",161,0.5373034,2003
26-Jun-03,NA,177,#VALUE!,2003
12-Jul-03,NA,193,#VALUE!,2003
28-Jul-03,NA,209,#VALUE!,2003
13-Aug-03,NA,225,#VALUE!,2003
29-Aug-03,NA,241,#VALUE!,2003
14-Sep-03,NA,257,#VALUE!,2003
30-Sep-03,"6,725.21",273,0.6725214,2003
16-Oct-03,"6,576.96",289,0.6576961,2003
1-Nov-03,NA,305,#VALUE!,2003
17-Nov-03,"6,236.75",321,0.6236751,2003
3-Dec-03,"5,407.56",337,0.5407562,2003
19-Dec-03,"5,144.88",353,0.5144877,2003
1-Jan-04,"4,645.55",1,0.4645546,2004
17-Jan-04,NA,17,#VALUE!,2004
2-Feb-04,"4,250.83",33,0.4250834,2004
18-Feb-04,"3,862.14",49,0.3862139,2004
5-Mar-04,"3,596.39",65,0.3596393,2004
21-Mar-04,"3,532.90",81,0.3532899,2004
6-Apr-04,NA,97,#VALUE!,2004
22-Apr-04,"5,645.13",113,0.5645134,2004
8-May-04,"5,743.27",129,0.5743272,2004
24-May-04,"4,743.42",145,0.4743422,2004
9-Jun-04,"4,272.04",161,0.4272037,2004
25-Jun-04,"4,992.49",177,0.4992493,2004
11-Jul-04,"6,078.93",193,0.6078934,2004
27-Jul-04,"6,798.09",209,0.6798094,2004
12-Aug-04,"6,727.28",225,0.6727275,2004
28-Aug-04,"7,368.22",241,0.7368224,2004
13-Sep-04,NA,257,#VALUE!,2004
29-Sep-04,"7,330.88",273,0.7330878,2004
15-Oct-04,"6,979.72",289,0.6979723,2004
31-Oct-04,"6,291.25",305,0.629125,2004
16-Nov-04,"5,912.35",321,0.5912348,2004
2-Dec-04,"5,392.74",337,0.5392738,2004
18-Dec-04,"5,472.96",353,0.5472958,2004
1-Jan-05,"5,237.44",1,0.5237444,2005
17-Jan-05,"5,022.43",17,0.5022429,2005
2-Feb-05,"4,710.28",33,0.4710281,2005
18-Feb-05,"4,282.85",49,0.4282845,2005
6-Mar-05,NA,65,#VALUE!,2005
22-Mar-05,"4,451.85",81,0.4451853,2005
7-Apr-05,NA,97,#VALUE!,2005
23-Apr-05,NA,113,#VALUE!,2005
9-May-05,NA,129,#VALUE!,2005
25-May-05,"6,505",145,0.6505,2005
10-Jun-05,"5,940.47",161,0.5940472,2005
26-Jun-05,NA,177,#VALUE!,2005
12-Jul-05,NA,193,#VALUE!,2005
28-Jul-05,"6,550",209,0.655,2005
13-Aug-05,NA,225,#VALUE!,2005
29-Aug-05,NA,241,#VALUE!,2005
14-Sep-05,"6,893",257,0.6893,2005
30-Sep-05,"6,638.19",273,0.6638188,2005
16-Oct-05,"6,649.85",289,0.664985,2005
1-Nov-05,"6,307.02",305,0.630702,2005
17-Nov-05,"5,623.30",321,0.5623297,2005
3-Dec-05,"5,107.65",337,0.5107645,2005
19-Dec-05,"4,179.38",353,0.4179384,2005
1-Jan-06,"4,179.38",1,0.4179384,2006
17-Jan-06,"3,931.55",17,0.3931552,2006
2-Feb-06,"4,015.72",33,0.4015718,2006
18-Feb-06,NA,49,#VALUE!,2006
6-Mar-06,"4,281.93",65,0.4281927,2006
22-Mar-06,NA,81,#VALUE!,2006
7-Apr-06,NA,97,#VALUE!,2006
23-Apr-06,"6,184.57",113,0.6184569,2006
9-May-06,"6,078",129,0.6078,2006
25-May-06,"6,100.51",145,0.6100512,2006
10-Jun-06,NA,161,#VALUE!,2006
26-Jun-06,NA,177,#VALUE!,2006
12-Jul-06,NA,193,#VALUE!,2006
28-Jul-06,NA,209,#VALUE!,2006
13-Aug-06,NA,225,#VALUE!,2006
29-Aug-06,NA,241,#VALUE!,2006
14-Sep-06,NA,257,#VALUE!,2006
30-Sep-06,NA,273,#VALUE!,2006
16-Oct-06,NA,289,#VALUE!,2006
1-Nov-06,"6,846.66",305,0.6846655,2006
17-Nov-06,NA,321,#VALUE!,2006
3-Dec-06,"6,083.64",337,0.6083639,2006
19-Dec-06,"5,583.21",353,0.5583211,2006
1-Jan-07,"5,583.21",1,0.5583211,2007
17-Jan-07,NA,17,#VALUE!,2007
2-Feb-07,NA,33,#VALUE!,2007
18-Feb-07,"4,704.81",49,0.470481,2007
6-Mar-07,"4,329.36",65,0.4329362,2007
22-Mar-07,NA,81,#VALUE!,2007
7-Apr-07,"5,608.55",97,0.5608549,2007
23-Apr-07,"5,816.30",113,0.58163,2007
9-May-07,"5,958.38",129,0.5958383,2007
25-May-07,"5,804.67",145,0.5804669,2007
10-Jun-07,NA,161,#VALUE!,2007
26-Jun-07,NA,177,#VALUE!,2007
12-Jul-07,NA,193,#VALUE!,2007
28-Jul-07,NA,209,#VALUE!,2007
13-Aug-07,"6,688.67",225,0.6688667,2007
29-Aug-07,NA,241,#VALUE!,2007
14-Sep-07,"7,351.02",257,0.7351017,2007
30-Sep-07,"7,353.42",273,0.7353422,2007
16-Oct-07,"6,539.78",289,0.653978,2007
1-Nov-07,"6,703.59",305,0.6703587,2007
17-Nov-07,"5,568.75",321,0.5568754,2007
3-Dec-07,"5,125.83",337,0.5125831,2007
19-Dec-07,NA,353,#VALUE!,2007
1-Jan-08,"4,393.37",1,0.4393374,2008
17-Jan-08,"4,405.31",17,0.4405307,2008
2-Feb-08,"4,208.54",33,0.4208536,2008
18-Feb-08,"4,178.83",49,0.4178831,2008
5-Mar-08,"3,301.73",65,0.3301733,2008
21-Mar-08,"3,102.77",81,0.3102769,2008
6-Apr-08,"3,333.41",97,0.333341,2008
22-Apr-08,"3,522.85",113,0.3522854,2008
8-May-08,"4,246.43",129,0.424643,2008
24-May-08,"4,070",145,0.407,2008
9-Jun-08,"4,342.27",161,0.4342272,2008
25-Jun-08,"4,595",177,0.4595,2008
11-Jul-08,NA,193,#VALUE!,2008
27-Jul-08,NA,209,#VALUE!,2008
12-Aug-08,NA,225,#VALUE!,2008
28-Aug-08,"6,780.77",241,0.6780765,2008
13-Sep-08,NA,257,#VALUE!,2008
29-Sep-08,"7,500.71",273,0.7500713,2008
15-Oct-08,"6,908.49",289,0.6908493,2008
31-Oct-08,"6,935.36",305,0.6935364,2008
16-Nov-08,"6,349.55",321,0.6349546,2008
2-Dec-08,"5,759.46",337,0.5759456,2008
18-Dec-08,"4,988.10",353,0.4988098,2008
1-Jan-09,"4,920.92",1,0.4920923,2009
17-Jan-09,"4,690.40",17,0.4690396,2009
2-Feb-09,"4,765.38",33,0.4765384,2009
18-Feb-09,"4,242.76",49,0.4242764,2009
6-Mar-09,"4,141.50",65,0.4141499,2009
22-Mar-09,"4,394.92",81,0.439492,2009
7-Apr-09,"4,929.03",97,0.4929025,2009
23-Apr-09,"4,221.81",113,0.4221806,2009
9-May-09,"4,660.30",129,0.4660297,2009
25-May-09,"4,854.00",145,0.4854001,2009
10-Jun-09,NA,161,#VALUE!,2009
26-Jun-09,"4,543",177,0.4543,2009
12-Jul-09,NA,193,#VALUE!,2009
28-Jul-09,NA,209,#VALUE!,2009
13-Aug-09,NA,225,#VALUE!,2009
29-Aug-09,"6,823.44",241,0.6823435,2009
14-Sep-09,"7,220.77",257,0.7220767,2009
30-Sep-09,"6,846",273,0.6846,2009
16-Oct-09,"7,222.63",289,0.7222629,2009
1-Nov-09,"6,562.78",305,0.6562779,2009
17-Nov-09,"5,995.95",321,0.5995948,2009
3-Dec-09,"5,899.48",337,0.5899484,2009
19-Dec-09,NA,353,#VALUE!,2009
1-Jan-10,"6,140.64",1,0.614064,2010
17-Jan-10,"5,860.79",17,0.5860792,2010
2-Feb-10,"5,315.10",33,0.5315098,2010
18-Feb-10,"5,711.08",49,0.571108,2010
6-Mar-10,"5,502.61",65,0.5502608,2010
22-Mar-10,"5,283.58",81,0.528358,2010
7-Apr-10,"6,635.80",97,0.6635796,2010
23-Apr-10,"6,006.93",113,0.600693,2010
9-May-10,"6,943.40",129,0.6943397,2010
25-May-10,NA,145,#VALUE!,2010
10-Jun-10,"6,165.59",161,0.6165594,2010
26-Jun-10,"6,038.41",177,0.603841,2010
12-Jul-10,NA,193,#VALUE!,2010
28-Jul-10,NA,209,#VALUE!,2010
13-Aug-10,"6,318",225,0.6318,2010
29-Aug-10,NA,241,#VALUE!,2010
14-Sep-10,NA,257,#VALUE!,2010
30-Sep-10,"6,366.74",273,0.6366744,2010
16-Oct-10,"6,466.92",289,0.6466919,2010
1-Nov-10,"5,420.65",305,0.5420647,2010
17-Nov-10,"5,209.40",321,0.5209404,2010
3-Dec-10,"4,979.57",337,0.4979574,2010
19-Dec-10,"4,459.42",353,0.4459416,2010
1-Jan-11,"4,264.00",1,0.4264001,2011
17-Jan-11,"3,661.09",17,0.3661087,2011
2-Feb-11,"3,856.23",33,0.385623,2011
18-Feb-11,"3,623.27",49,0.3623265,2011
6-Mar-11,NA,65,#VALUE!,2011
22-Mar-11,"3,484.50",81,0.3484504,2011
7-Apr-11,"3,790",97,0.379,2011
23-Apr-11,"5,407.47",113,0.5407465,2011
9-May-11,"5,309.96",129,0.5309961,2011
25-May-11,"5,706.40",145,0.5706399,2011
10-Jun-11,"6,018.65",161,0.6018647,2011
26-Jun-11,NA,177,#VALUE!,2011
12-Jul-11,NA,193,#VALUE!,2011
28-Jul-11,NA,209,#VALUE!,2011
13-Aug-11,NA,225,#VALUE!,2011
29-Aug-11,NA,241,#VALUE!,2011
14-Sep-11,"7,231.05",257,0.7231047,2011
30-Sep-11,"6,764.81",273,0.6764805,2011
16-Oct-11,"6,209.22",289,0.6209221,2011
1-Nov-11,"5,921.00",305,0.5921001,2011
17-Nov-11,"5,867.57",321,0.5867568,2011
3-Dec-11,"5,410.45",337,0.5410454,2011
19-Dec-11,"5,344.91",353,0.534491,2011
1-Jan-12,"4,621.10",1,0.4621097,2012
17-Jan-12,"3,934.94",17,0.3934937,2012
2-Feb-12,"3,881.95",33,0.3881954,2012
18-Feb-12,"3,340.40",49,0.3340398,2012
5-Mar-12,"3,180.54",65,0.3180535,2012
21-Mar-12,NA,81,#VALUE!,2012
6-Apr-12,"3,993",97,0.3993,2012
22-Apr-12,"4,797.63",113,0.4797627,2012
8-May-12,"5,541.67",129,0.5541665,2012
24-May-12,NA,145,#VALUE!,2012
9-Jun-12,NA,161,#VALUE!,2012
25-Jun-12,NA,177,#VALUE!,2012
11-Jul-12,NA,193,#VALUE!,2012
27-Jul-12,NA,209,#VALUE!,2012
12-Aug-12,"6,390.15",225,0.6390146,2012
28-Aug-12,NA,241,#VALUE!,2012
13-Sep-12,NA,257,#VALUE!,2012
29-Sep-12,"6,499.99",273,0.6499991,2012
15-Oct-12,"5,947.63",289,0.5947627,2012
31-Oct-12,"5,419.35",305,0.5419352,2012
16-Nov-12,"4,947.49",321,0.4947494,2012
2-Dec-12,"4,295.93",337,0.4295934,2012
18-Dec-12,"4,118.57",353,0.4118573,2012
1-Jan-13,"3,729.48",1,0.3729478,2013
17-Jan-13,"3,606.26",17,0.3606257,2013
2-Feb-13,"3,425.53",33,0.3425531,2013
18-Feb-13,"3,127.68",49,0.3127681,2013
6-Mar-13,"3,234.27",65,0.3234266,2013
22-Mar-13,NA,81,#VALUE!,2013
7-Apr-13,NA,97,#VALUE!,2013
23-Apr-13,NA,113,#VALUE!,2013
9-May-13,NA,129,#VALUE!,2013
25-May-13,NA,145,#VALUE!,2013
10-Jun-13,NA,161,#VALUE!,2013
26-Jun-13,NA,177,#VALUE!,2013
12-Jul-13,NA,193,#VALUE!,2013
28-Jul-13,NA,209,#VALUE!,2013
13-Aug-13,NA,225,#VALUE!,2013
29-Aug-13,NA,241,#VALUE!,2013
14-Sep-13,NA,257,#VALUE!,2013
30-Sep-13,NA,273,#VALUE!,2013
16-Oct-13,"6,977.86",289,0.6977855,2013
1-Nov-13,"6,492.89",305,0.6492888,2013
17-Nov-13,"6,130.60",321,0.6130599,2013
3-Dec-13,"5,772.70",337,0.5772702,2013
19-Dec-13,"5,108.38",353,0.510838,2013
1-Jan-14,"4,746.58",1,0.4746583,2014
17-Jan-14,"4,461.12",17,0.4461121,2014
2-Feb-14,"4,204.77",33,0.4204765,2014
18-Feb-14,"4,078.82",49,0.4078823,2014
6-Mar-14,"3,989.37",65,0.3989366,2014
22-Mar-14,NA,81,#VALUE!,2014
7-Apr-14,"5,305",97,0.5305,2014
23-Apr-14,NA,113,#VALUE!,2014
9-May-14,NA,129,#VALUE!,2014
25-May-14,"6,774.28",145,0.6774282,2014
10-Jun-14,"6,157.46",161,0.615746,2014
26-Jun-14,NA,177,#VALUE!,2014
12-Jul-14,"5,745.94",193,0.5745935,2014
28-Jul-14,NA,209,#VALUE!,2014
13-Aug-14,NA,225,#VALUE!,2014
29-Aug-14,NA,241,#VALUE!,2014
14-Sep-14,NA,257,#VALUE!,2014
30-Sep-14,NA,273,#VALUE!,2014
16-Oct-14,"6,553.77",289,0.6553768,2014
1-Nov-14,"6,256.47",305,0.6256465,2014
17-Nov-14,NA,321,#VALUE!,2014
3-Dec-14,"5,236.10",337,0.5236097,2014
19-Dec-14,"4,633.64",353,0.4633642,2014
1-Jan-15,"4,160.11",1,0.4160109,2015
17-Jan-15,"4,079.32",17,0.4079315,2015
2-Feb-15,"3,678.81",33,0.3678805,2015
18-Feb-15,"3,390.50",49,0.3390496,2015
6-Mar-15,"3,211.10",65,0.3211104,2015
22-Mar-15,"3,847.37",81,0.3847369,2015
7-Apr-15,"3,410.20",97,0.3410202,2015
23-Apr-15,"3,450.91",113,0.3450914,2015
9-May-15,NA,129,#VALUE!,2015
25-May-15,"5,121.50",145,0.5121497,2015
10-Jun-15,"5,321.99",161,0.5321988,2015
26-Jun-15,NA,177,#VALUE!,2015
12-Jul-15,NA,193,#VALUE!,2015
28-Jul-15,NA,209,#VALUE!,2015
13-Aug-15,NA,225,#VALUE!,2015
29-Aug-15,NA,241,#VALUE!,2015
14-Sep-15,NA,257,#VALUE!,2015
30-Sep-15,"7,318.17",273,0.7318172,2015
16-Oct-15,"6,931.42",289,0.6931422,2015
1-Nov-15,NA,305,#VALUE!,2015
17-Nov-15,"6,139.59",321,0.6139585,2015
3-Dec-15,NA,337,#VALUE!,2015
19-Dec-15,"5,323.72",353,0.5323719,2015
1-Jan-16,NA,1,#VALUE!,2016
17-Jan-16,"4,980.28",17,0.498028,2016
2-Feb-16,"4,783.52",33,0.4783524,2016
18-Feb-16,"4,641.81",49,0.4641812,2016
5-Mar-16,"4,054.89",65,0.405489,2016
21-Mar-16,"4,458.45",81,0.4458453,2016
6-Apr-16,NA,97,#VALUE!,2016
22-Apr-16,"6,597",113,0.6597,2016
8-May-16,"5,954.51",129,0.5954505,2016
24-May-16,"6,027.12",145,0.6027124,2016
9-Jun-16,"6,182.99",161,0.6182993,2016
25-Jun-16,"6,167.27",177,0.6167265,2016
11-Jul-16,"6,382.24",193,0.6382241,2016
27-Jul-16,NA,209,#VALUE!,2016
12-Aug-16,"6,172.67",225,0.6172672,2016
28-Aug-16,NA,241,#VALUE!,2016
13-Sep-16,"6,734",257,0.6734,2016
29-Sep-16,"5,939.78",273,0.5939776,2016
15-Oct-16,"6,080.50",289,0.6080497,2016
31-Oct-16,"5,346.90",305,0.5346895,2016
16-Nov-16,"4,690.55",321,0.4690551,2016
2-Dec-16,"4,329.84",337,0.4329838,2016
18-Dec-16,"3,935.15",353,0.3935151,2016
1-Jan-17,"3,935.15",1,0.3935151,2017
17-Jan-17,"3,466.30",17,0.3466301,2017
2-Feb-17,"3,335.09",33,0.3335089,2017
18-Feb-17,"3,648.22",49,0.3648217,2017
6-Mar-17,"3,529.27",65,0.3529266,2017
22-Mar-17,"4,458.45",81,0.4458453,2017
7-Apr-17,"4,508.98",97,0.4508976,2017
23-Apr-17,NA,113,#VALUE!,2017
9-May-17,NA,129,#VALUE!,2017
25-May-17,NA,145,#VALUE!,2017
10-Jun-17,"5,769",161,0.5769,2017
26-Jun-17,NA,177,#VALUE!,2017
12-Jul-17,NA,193,#VALUE!,2017
28-Jul-17,NA,209,#VALUE!,2017
13-Aug-17,NA,225,#VALUE!,2017
29-Aug-17,NA,241,#VALUE!,2017
14-Sep-17,NA,257,#VALUE!,2017
30-Sep-17,"6,508",273,0.6508,2017
16-Oct-17,NA,289,#VALUE!,2017
1-Nov-17,"6,542.54",305,0.6542535,2017
17-Nov-17,"5,896.75",321,0.5896753,2017
3-Dec-17,"5,099.28",337,0.5099282,2017
19-Dec-17,"4,654.45",353,0.4654446,2017
1-Jan-18,"3,941.34",1,0.3941341,2018
17-Jan-18,"3,788.43",17,0.378843,2018
2-Feb-18,"3,775.74",33,0.3775743,2018
18-Feb-18,"3,564.08",49,0.3564084,2018
6-Mar-18,"3,830.20",65,0.3830196,2018
22-Mar-18,"3,969.75",81,0.3969748,2018
7-Apr-18,NA,97,#VALUE!,2018
23-Apr-18,"5,664.87",113,0.5664869,2018
9-May-18,NA,129,#VALUE!,2018
25-May-18,"5,957.56",145,0.5957559,2018
10-Jun-18,NA,161,#VALUE!,2018
26-Jun-18,NA,177,#VALUE!,2018
12-Jul-18,NA,193,#VALUE!,2018
28-Jul-18,NA,209,#VALUE!,2018
13-Aug-18,NA,225,#VALUE!,2018
29-Aug-18,"6,553",241,0.6553,2018
14-Sep-18,NA,257,#VALUE!,2018
30-Sep-18,"6,873.39",273,0.6873394,2018
16-Oct-18,NA,289,#VALUE!,2018
1-Nov-18,"6,392.15",305,0.6392147,2018
17-Nov-18,"6,179.78",321,0.6179782,2018
